"CVE name	port#	severity rating	estimated price	description	link",,,,,,,,,,,,
"CVE-2015-1349	getPORT#	5.4	get_price()	named in ISC BIND 9.7.0 through 9.9.6 before 9.9.6-P2 and 9.10.x before 9.10.1-P2", when DNSSEC validation and the managed-keys feature are enabled, allows remote attackers to cause a denial of service (assertion failure and daemon exit," or daemon crash) by triggering an incorrect trust-anchor management scenario in which no key is ready for use.	https://nvd.nist.gov/vuln/detail/CVE-2015-1349",,,,,,,,,
"CVE-2020-8617	getPORT#	7.5 HIGH	get_price()	Using a specially-crafted message", an attacker may potentially cause a BIND server to reach an inconsistent state if the attacker knows (or successfully guesses) the name of a TSIG key used by the server. Since BIND, by default, configures a local session key even on servers whose configuration does not otherwise make use of it, almost all current BIND servers are vulnerable. In releases of BIND dating from March 2018 and after, an assertion check in tsig.c detects this inconsistent state and deliberately exits. Prior to the introduction of the check the server would continue operating in an inconsistent state," with potentially harmful results.	https://nvd.nist.gov/vuln/detail/CVE-2020-8617",,,,,,
"CVE-2020-8616	getPORT#	8.6 HIGH	get_price()	A malicious actor who intentionally exploits this lack of effective limitation on the number of fetches performed when processing referrals can", through the use of specially crafted referrals, cause a recursing server to issue a very large number of fetches in an attempt to process the referral. This has at least two potential effects: The performance of the recursing server can potentially be degraded by the additional work required to perform these fetches," and The attacker can exploit this behavior to use the recursing server as a reflector in a reflection attack with a high amplification factor.	https://nvd.nist.gov/vuln/detail/CVE-2020-8616",,,,,,,,,
"CVE-2020-12783	getPORT#	7.5 HIGH	get_price()	Exim through 4.93 has an out-of-bounds read in the SPA authenticator that could result in SPA/NTLM authentication bypass in auths/spa.c and auths/auth-spa.c.	https://nvd.nist.gov/vuln/detail/CVE-2020-12783",,,,,,,,,,,,
"CVE-2020-12783	getPORT#	7.5 HIGH	get_price()	Exim through 4.93 has an out-of-bounds read in the SPA authenticator that could result in SPA/NTLM authentication bypass in auths/spa.c and auths/auth-spa.c.	https://nvd.nist.gov/vuln/detail/CVE-2020-12783",,,,,,,,,,,,
"CVE-2020-12783	getPORT#	7.5 HIGH	get_price()	Exim through 4.93 has an out-of-bounds read in the SPA authenticator that could result in SPA/NTLM authentication bypass in auths/spa.c and auths/auth-spa.c.	https://nvd.nist.gov/vuln/detail/CVE-2020-12783",,,,,,,,,,,,
"CVE-2018-5740	getPORT#	7.5 HIGH	get_price()	""deny-answer-aliases"" is a little-used feature intended to help recursive server operators protect end users against DNS rebinding attacks", a potential method of circumventing the security model used by client browsers. However, a defect in this feature makes it easy, when the feature is in use, to experience an assertion failure in name.c. Affects BIND 9.7.0->9.8.8, 9.9.0->9.9.13, 9.10.0->9.10.8, 9.11.0->9.11.4, 9.12.0->9.12.2," 9.13.0->9.13.2.	https://nvd.nist.gov/vuln/detail/CVE-2018-5740",,,
"CVE-2017-3145	getPORT#	7.5 HIGH	get_price()	BIND was improperly sequencing cleanup operations on upstream recursion fetch contexts", leading in some cases to a use-after-free error that can trigger an assertion failure and crash in named. Affects BIND 9.0.0 to 9.8.x, 9.9.0 to 9.9.11, 9.10.0 to 9.10.6, 9.11.0 to 9.11.2, 9.9.3-S1 to 9.9.11-S1, 9.10.5-S1 to 9.10.6-S1," 9.12.0a1 to 9.12.0rc1.	https://nvd.nist.gov/vuln/detail/CVE-2017-3145",,,,,
"CVE-2016-9131	getPORT#	7.5 HIGH	get_price()	named in ISC BIND 9.x before 9.9.9-P5", 9.10.x before 9.10.4-P5," and 9.11.x before 9.11.0-P2 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a malformed response to an RTYPE ANY query.	https://nvd.nist.gov/vuln/detail/CVE-2016-9131",,,,,,,,,,
"CVE-2016-8864	getPORT#	7.5 HIGH	get_price()	named in ISC BIND 9.x before 9.9.9-P4", 9.10.x before 9.10.4-P4, and 9.11.x before 9.11.0-P1 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a DNAME record in the answer section of a response to a recursive query," related to db.c and resolver.c.	https://nvd.nist.gov/vuln/detail/CVE-2016-8864",,,,,,,,,
"CVE-2016-2848	getPORT#	7.5 HIGH	get_price()	ISC BIND 9.1.0 through 9.8.4-P2 and 9.9.0 through 9.9.2-P2 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via malformed options data in an OPT resource record.	https://nvd.nist.gov/vuln/detail/CVE-2016-2848",,,,,,,,,,,,
"CVE-2016-1286	getPORT#	8.6 HIGH	get_price()	named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted signature record for a DNAME record"," related to db.c and resolver.c.	https://nvd.nist.gov/vuln/detail/CVE-2016-1286",,,,,,,,,,,
"CVE-2015-8000	getPORT#	5.0	get_price()	db.c in named in ISC BIND 9.x before 9.9.8-P2 and 9.10.x before 9.10.3-P2 allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) via a malformed class attribute.	https://nvd.nist.gov/vuln/detail/CVE-2015-8000",,,,,,,,,,,,
"CVE-2017-3143	getPORT#	5.9 MEDIUM	get_price()	An attacker who is able to send and receive messages to an authoritative DNS server and who has knowledge of a valid TSIG key name for the zone and service being targeted may be able to manipulate BIND into accepting an unauthorized dynamic update. Affects BIND 9.4.0->9.8.8", 9.9.0->9.9.10-P1, 9.10.0->9.10.5-P1, 9.11.0->9.11.1-P1, 9.9.3-S1->9.9.10-S2," 9.10.5-S1->9.10.5-S2.	https://nvd.nist.gov/vuln/detail/CVE-2017-3143",,,,,,,
"CVE-2017-3142	getPORT#	3.7 LOW	get_price()	An attacker who is able to send and receive messages to an authoritative DNS server and who has knowledge of a valid TSIG key name may be able to circumvent TSIG authentication of AXFR requests via a carefully constructed request packet. A server that relies solely on TSIG keys for protection with no other ACL protection could be manipulated into: providing an AXFR of a zone to an unauthorized recipient or accepting bogus NOTIFY packets. Affects BIND 9.4.0->9.8.8", 9.9.0->9.9.10-P1, 9.10.0->9.10.5-P1, 9.11.0->9.11.1-P1, 9.9.3-S1->9.9.10-S2," 9.10.5-S1->9.10.5-S2.	https://nvd.nist.gov/vuln/detail/CVE-2017-3142",,,,,,,
"CVE-2017-3136	getPORT#	5.9 MEDIUM	get_price()	A query with a specific set of characteristics could cause a server using DNS64 to encounter an assertion failure and terminate. An attacker could deliberately construct a query", enabling denial-of-service against a server if it was configured to use the DNS64 feature and other preconditions were met. Affects BIND 9.8.0 -> 9.8.8-P1, 9.9.0 -> 9.9.9-P6, 9.9.10b1->9.9.10rc1, 9.10.0 -> 9.10.4-P6, 9.10.5b1->9.10.5rc1, 9.11.0 -> 9.11.0-P3, 9.11.1b1->9.11.1rc1," 9.9.3-S1 -> 9.9.9-S8.	https://nvd.nist.gov/vuln/detail/CVE-2017-3136",,,,
"CVE-2016-2775	getPORT#	5.9 MEDIUM	get_price()	ISC BIND 9.x before 9.9.9-P2", 9.10.x before 9.10.4-P2, and 9.11.x before 9.11.0b2, when lwresd or the named lwres option is enabled," allows remote attackers to cause a denial of service (daemon crash) via a long request that uses the lightweight resolver protocol.	https://nvd.nist.gov/vuln/detail/CVE-2016-2775",,,,,,,,
"CVE-2016-1285	getPORT#	6.8 MEDIUM	get_price()	named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 does not properly handle DNAME records when parsing fetch reply messages", which allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a malformed packet to the rndc (aka control channel) interface," related to alist.c and sexpr.c.	https://nvd.nist.gov/vuln/detail/CVE-2016-1285",,,,,,,,,,
"CVE-2020-8622	getPORT#	6.5 MEDIUM	get_price()	In BIND 9.0.0 -> 9.11.21", 9.12.0 -> 9.16.5, 9.17.0 -> 9.17.3, also affects 9.9.3-S1 -> 9.11.21-S1 of the BIND 9 Supported Preview Edition, An attacker on the network path for a TSIG-signed request, or operating the server receiving the TSIG-signed request, could send a truncated response to that request, triggering an assertion failure, causing the server to exit. Alternately, an off-path attacker would have to correctly guess when a TSIG-signed request was sent, along with other characteristics of the packet and message, and spoof a truncated response to trigger an assertion failure," causing the server to exit.	https://nvd.nist.gov/vuln/detail/CVE-2020-8622"
"CVE-2016-6170	getPORT#	6.5 MEDIUM	get_price()	ISC BIND through 9.9.9-P1", 9.10.x through 9.10.4-P1, and 9.11.x through 9.11.0b1 allows primary DNS servers to cause a denial of service (secondary DNS server crash) via a large AXFR response," and possibly allows IXFR servers to cause a denial of service (IXFR client crash) via a large IXFR response and allows remote authenticated users to cause a denial of service (primary DNS server crash) via a large UPDATE message.	https://nvd.nist.gov/vuln/detail/CVE-2016-6170",,,,,,,,,
"CVE-2014-0591	getPORT#	2.6	get_price()	The query_findclosestnsec3 function in query.c in named in ISC BIND 9.6",9.7, and 9.8 before 9.8.6-P2 and 9.9 before 9.9.4-P2, and 9.6-ESV before 9.6-ESV-R10-P2," allows remote attackers to cause a denial of service (INSIST assertion failure and daemon exit) via a crafted DNS query to an authoritative nameserver that uses the NSEC3 signing feature.	https://nvd.nist.gov/vuln/detail/CVE-2014-0591",,,,,,,,
"CVE-2013-5661	getPORT#	5.9 MEDIUM	get_price()	Cache Poisoning issue exists in DNS Response Rate Limiting.	https://nvd.nist.gov/vuln/detail/CVE-2013-5661",,,,,,,,,,,,
